card_name,card_description,card_price,link_to_card
Шампунь для окрашенных волос / MORPHOSIS COLOR PROTECT SHAMPOO 1000 мл,"Мягкий шампунь бережно очищает от загрязнений волосы и кожу, питает и увлажняет, выполняет защиту яркости и интенсивности косметического цвета, восстанавливает структуру и увлажненность окрашенных, мелированных и осветленных волос. Без парабенов, сульфатов и глютена.",5090,https://www.proficosmetics.ru/catalog/1291844/
Крем-шампунь для окрашенных волос / Rain Dance 1000 мл,"Крем-шампунь для окрашенных волос COLOR SHAMPOO. Крем-шампунь усиливает и подчеркивает оттенок волос, защищает и продлевает интенсивность нового оттенка и придавая волосам блеск. Увлажняет и восстанавливает волосы, возвращая им естественную мягкость. Активные ингредиенты, такие как эфирные масла и...",2880,https://www.proficosmetics.ru/catalog/3090734/
Шампунь для экстремально поврежденных осветленных волос / Extreme Blond Repair Shampoo 300 мл,"Шампунь для экстремально поврежденных осветленных волос Extreme Blond Repair Shampoo - деликатная формула с аминокислотами молочных протеинов, гидролизованным кератином и протеинами шелка бережно очищает, способствуют восстановлению структуры осветленных и обесцвеченных волос, поддерживает...",680,https://www.proficosmetics.ru/catalog/1291084/
Шампунь для увлажнения кудрявых и вьющихся волос / SDL CURLS ENHANCING LOW SHAMPOO 250 мл,"Шампунь для кудрявых и вьющихся волос Alfaparf Semi Di Lino Curls Enhancing Low Shampoo - шампунь для кудрявых и вьющихся волос очищает, увлажняет и делает волосы мягкими и гладкими. Деликатный шампунь, который подчеркивает волны и формирует кудри: он нежно очищает, увлажняет и делает волосы...",1460,https://www.proficosmetics.ru/catalog/3055364/
"Шампунь гидратирующий для тонких/средних, сухих волос / HYDRASPLASH 1000 мл","Даже тонкие и средней толщины волосы испытывают жажду ... и заслуживают большого глотка воды, который не утяжелит их. Роскошная пена шампуня HydraSplash быстро очищает от загрязнений, не удаляя столь необходимую естественную влагу, делая волосы блестящими, чистыми, мягкими и здоровыми.",8146,https://www.proficosmetics.ru/catalog/2945973/
Шампунь для объема волос / VOLUMIZING 400 мл,"Шампунь для объема тонких волос деликатно очищает кожу головы, подходит для ежедневного применения. Придает волосам видимый объем, сохраняя легкость и мягкость, глубоко увлажняет волосы, не утяжеляет их. Содержит большое количество органических экстрактов способствующих уплотнению...",1250,https://www.proficosmetics.ru/catalog/150954/
Шампунь протеиновый для волос 250 мл,"Мягкая формула шампуня, с натуральными протеинами и нейтральным pH, идеально подходит для волос травмированных после технических процедур. Фрагменты протеиновых молекул достраивают кератиновую фибру волос в местах повреждений, и тем самым, укрепляют структуру ослабленных волос. Возвращает волосам...",865,https://www.proficosmetics.ru/catalog/152129/
Шампунь восстанавливающий для химически поврежденных волос Ботокс / Rebuilder Shampoo 300 мл,"Шампунь восстанавливающий для химически поврежденных волос Ботокс Rebuilder Shampoo для сильно поврежденных, сухих, ломких и истонченных волос, часто подвергающихся интенсивному химическому и температурному воздействию (окрашивание, обесцвечивание, термоинструменты). Максимально бережно очищает...",805,https://www.proficosmetics.ru/catalog/1291002/
Шампунь для воздушного объема волос / JoiFull Volumizing Shampoo 1000 мл,"Шампунь для воздушного объема волос JoiFull Volumizing Shampoo - шампунь с нежной сливочной пеной очищает волосы и подготавливает их к следующему этапу создания объема. Создает роскошный объем на длительное время. Шампунь тщательно, не повреждая волос, смывает грязь и жир, делая волосы плотными не...",8146,https://www.proficosmetics.ru/catalog/1833270/
Шампунь для волос / IAU cleansing RELAXMENT 600 мл,"Расслабляющий ароматический шампунь «IAU Cleansing RELAXMENT» разработан специально для решения проблем сухой кожи головы. Он деликатно очищает волосы и кожу головы, сохраняя здоровый гидролипидный баланс, а также обеспечивает полноценный уход за сухими и поврежденным...",6520,https://www.proficosmetics.ru/catalog/57167/
Шампунь для сухих волос / SDL M NUTRITIVE LOW SHAMPOO 250 мл,"Увлажняющий шампунь для сухих волос. Мягко очищает, восстанавливает структуру волоса, питает, делая их мягкими и блестящими. Экстракт меда сохраняет влагу внутри волоса. Комплекс сохранения цвета продлевает и усиливает сияние и интенсивность цвета. Подходит для окрашенных волос. Не содержит...",1460,https://www.proficosmetics.ru/catalog/84112/
Шампунь Абсолютный объем / CARE Absolute Volume 1000 мл,"Шампунь «Абсолютный объем» Кене проходит через кутикулу волос, делая ее более плотной и толстой, заполняя поврежденные участки. Дарит волосам объем без утяжеления благодаря наличию в составе протеинов пшеницы. Провитамин В5 регулирует баланс влаги, делая волосы более густыми. Активные ингредиенты:...",3395,https://www.proficosmetics.ru/catalog/113185/
Шампунь питательный с маслом арганы и маслом семян льна / OLIOSETA ORO DEL MOROCCO 750 мл,"Питательный шампунь для ухода за всеми типами волос, в том числе за поврежденными, хрупкими и непослушными.  Питательный шампунь с маслом арганы и маслом семян льна настоящий источник красоты, деликатно очищая волосы он расслабляет и очищает кожу головы. Масло Арганы, богатое омега 6 и...",3020,https://www.proficosmetics.ru/catalog/64024/
Шампунь против выпадения волос / CARE Derma Activate Shampoo 1000 мл,"Шампунь Keune Care Derma Activate бережно очищает чувствительную кожу головы и тонкие волосы, способствует оздоровлению и обновлению клеток, предупреждает выпадение. Омолаживающая технология с экстрактом тысячелистника стимулируют кровообращение и образование здоровых волос, даря прядям сияние,...",3395,https://www.proficosmetics.ru/catalog/113154/
Шампунь-скраб детоксирующий / Detoxyfing NATURAL TECH 250 мл,"Восстанавливающий шампунь-скраб NATURAL TECH DETOXIFYING деликатно очищает и скрабирует ослабленную, атоничную кожу головы. Содержит микрокапсулы масла жожоба, деликатно массирующие кожу головы и способствующие насыщению ее кислородом. Мельчайшие частицы кремния способствуют более глубокому...",2920,https://www.proficosmetics.ru/catalog/59419/
